triumphant,452,8.82,-0.73,6.78,-2.58,6.95,-2.55,5,,,Valance range:,1.25,8.82
love,263,8.72,-0.7,6.44,-3.35,7.11,-2.56,232,,,Valence mean:,5.149352031,
paradise,304,8.72,-0.6,5.12,-3.38,6.03,-2.79,12,,,,,
loved,264,8.64,-0.71,6.38,-2.68,6.62,-2.53,56,,,Arousal range:,2.39,8.17
miracle,279,8.6,-0.71,7.65,-1.67,5.35,-2.58,16,,,Arousal mean:,5.11787234,
joy,240,8.6,-0.71,7.22,-2.13,6.28,-2.15,40,,,,,
humor,220,8.56,-0.81,5.5,-2.91,6.08,-2.14,47,,,,Val cumulative,Val freq.
laughter,251,8.45,-1.08,6.75,-2.5,6.45,-2.45,22,,,1,0,0
champion,67,8.44,-0.9,5.85,-3.15,6.5,-2.85,23,,,2,52,52
friendly,175,8.43,-1.08,5.11,-2.96,5.92,-2.42,61,,,3,215,163
sweetheart,424,8.42,-0.83,5.5,-2.73,6.03,-2.24,9,,,4,346,131
affection,7,8.39,-0.86,6.21,-2.75,6.08,-2.22,18,,,5,450,104
mother,286,8.39,-1.15,6.13,-2.71,5.74,-2.37,216,,,6,617,167
win,494,8.38,-0.92,7.72,-2.16,7.39,-2.36,55,,,7,800,183
excellence,151,8.38,-0.96,5.54,-2.67,7.28,-2.32,15,,,8,985,185
cash,503,8.37,-1,7.37,-2.21,6.96,-2.39,36,,,9,1034,49
fun,759,8.37,-1.11,7.22,-2.01,6.8,-1.85,44,,,,,
comedy,77,8.37,-0.94,5.85,-2.81,5.44,-2.08,39,,,,Arousal cum.,Arousal freq.
orgasm,920,8.32,-1.31,8.1,-1.45,6.83,-2.18,7,,,,0,0
romantic,364,8.32,-1,7.59,-2.07,6.08,-2.29,32,,,,0,0
victory,475,8.32,-1.16,6.63,-2.84,7.26,-2.14,61,,,,14,14
success,417,8.29,-0.93,6.11,-2.65,6.89,-2.4,93,,,,159,145
pleasure,317,8.28,-0.92,5.74,-2.81,6.15,-2.31,62,,,,498,339
treasure,449,8.27,-0.9,6.75,-2.3,6.36,-2.42,4,,,,818,320
kiss,248,8.26,-1.54,7.32,-2.03,6.93,-2.28,17,,,,990,172
delight,105,8.26,-1.04,5.44,-2.88,5.79,-2.24,29,,,,1030,40
free,172,8.26,-1.31,5.15,-3.04,6.35,-2.4,260,,,,1034,4
