admire,confident,7.74,-1.84,6.11,-2.36
admired,confident,7.74,-1.84,6.11,-2.36
admiring,confident,7.74,-1.84,6.11,-2.36
afraid,scared,2,-1.28,6.67,-2.54
aggressive,violent,5.1,-1.68,5.83,-2.33
alert,alert,6.2,-1.76,6.85,-2.53
aloof,indifferent,4.9,-1.92,4.28,-2.1
alright,content,6.06,-1.42,4.7,-2.54
amazing,great,9,0,6,0
anger,angry,2.34,-1.32,7.63,-1.91
angry,angry,2.85,-1.7,7.17,-2.07
anguish,stressed,2.12,-1.56,5.33,-2.69
anguished,stressed,2.12,-1.56,5.33,-2.69
annoy,annoying,2.74,-1.81,6.49,-2.17
annoyed,annoying,3.5,-2.18,4.74,-2.42
annoying,annoying,3.5,-2.18,4.74,-2.42
anxious,nervous,4.81,-1.98,6.92,-1.81
arouse,excited,7.97,-1,6.63,-2.7
aroused,excited,7.97,-1,6.63,-2.7
arousing,excited,7.97,-1,6.63,-2.7
astonished,surprised,6.56,-1.61,6.58,-2.22
awed,surprised,6.7,-1.38,5.74,-2.31
arrogant,confident,3.69,-2.4,5.65,-2.23
awesome,great,9,0,6,0
bad,unfortunate,2,0,4,0
bored,indifferent,2.95,-1.35,2.83,-2.31
bereavement,sad,4.57,-1.7,4.2,-2.15
bless,fortunate,7.19,-1.69,4.05,-2.59
bold,confident,6.8,-1.61,5.6,-2.21
brave,confident,7.15,-1.64,6.15,-2.45
bliss,fortunate,6.95,-2.24,4.41,-2.95
bummed,sad,2.39,-1.25,4.78,-2.52
cheated,unfortunate,2,0,4,0
cheer,happy,8.1,-1.17,6.12,-2.45
cheery,happy,8.1,-1.17,6.12,-2.45
cheerful,happy,8.1,-1.17,6.12,-2.45
comfort,calm,7.07,-2.14,3.93,-2.85
comfortable,calm,7.07,-2.14,3.93,-2.85
consoled,calm,5.78,-1.64,4.53,-2.22
cold,mean,4.02,-1.99,5.19,-2.23
confidence,confident,7.98,-1.29,6.22,-2.41
confident,confident,7.98,-1.29,6.22,-2.41
confuse,confused,3.21,-1.51,6.03,-1.88
confused,confused,3.21,-1.51,6.03,-1.88
confusing,confused,3.21,-1.51,6.03,-1.88
contempt,contempt,3.85,-2.13,5.28,-2.04
contemptful,contempt,3.85,-2.13,5.28,-2.04
content,content,7.06,-1.42,4.7,-2.54
crappy,unfortunate,2,0,4,0
crude,mean,3.12,-1.65,5.07,-2.37
cruel,mean,1.97,-1.67,5.68,-2.65
