workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1 (valence),pcomp2 (negative arousal),dummy,Analysis,Overall Valence,Overall Arousal,Avg ID1,Avg ID2,scale1 (relative valence),scale2 (negative relative arousal)
A578KKFXCH6DX,1,0,30,60,0.38,0.36,0.26,0,0.38,0.45,Chris is very disappointed not to have won any money. He saw that his odds were more that 50/50 that he would win $30 or $60. Chris is hopeful that he might win money on the next spin.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,1,"{'inspired': [7.1, 5.78, ['hopeful'], 1], 'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",4.25,4.85,2.3125,4.69,-2.1875,-0.19
A35R4R94ZTZFSV,1,0,30,60,0.38,0.36,0.26,0,0.38,0.737,Upset that he didn't win anything.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,1,"{'sad': [2.0, 5.86, ['upset'], 1]}",2,5.86,,,,4.5
ATG5DIBOFXR7C,1,0,30,60,0.38,0.36,0.26,0,0.38,0.597,He is sad he didnt win anything.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,1,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13,,,,4.5
A290W8BVTNK0ZY,1,0,30,60,0.38,0.36,0.26,0,0.38,0.668,Very disappointed that he didn't win any money at all. ,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,1,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",1.39,3.92,,,,4.5
A1WND2TPRFA4H,2,0,30,60,0.42,0.31,0.27,30,0.31,0.115,Pretty dang happy!,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49,6.011111111,5.448888889,1.511111111,-0.948888889
A09281221R5UN2B9X8VQQ,2,0,30,60,0.42,0.31,0.27,30,0.31,0.801,I think David feels pretty good about winning the $30.  There were pretty good odds of him landing on 0.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'happy': [6.47, 4.43, ['a little good'], 2]}",6.47,4.43,,,,4.5
A21L1O4MOGTUCH,2,0,30,60,0.42,0.31,0.27,30,0.31,0.998,He is some what glad that he won 30 dollars because the chances of him winning were very low\n,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16,,,,4.5
A9DJ4U0G0MAA3,2,0,30,60,0.42,0.31,0.27,30,0.31,0.592,happy. justifies his outcome by saying he could have easily walked away with nothing,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49,,,,4.5
A3EBZQ81L976E1,2,0,30,60,0.42,0.31,0.27,30,0.31,0.535,James is relieved that he won $30 as opposed to no money; but he still wishes he would have won the greater amount of money.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'fortunate': [7.09, 5.16, ['relieved', 'wishes'], 2]}",7.09,5.16,,,,4.5
A2SJ48G1X5OSN8,2,0,30,60,0.42,0.31,0.27,30,0.31,0.998,Uggggggh - he's probably feeling jipped. This was so close!!!,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'unfortunate': [2.0, 4.0, ['jipped'], 1]}",2,4,,,,4.5
A290W8BVTNK0ZY,2,0,30,60,0.42,0.31,0.27,30,0.31,0.713,Content and satisfied that he won money at all; yet somewhat upset he didnt get the highest amount. ,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'content': [7.5, 4.82, ['content', 'satisfied'], 2], 'sad': [3.0, 6.86, ['a little upset'], 1]}",6,5.5,,,,4.5
A117G4HSX1Y0LQ,2,0,30,60,0.42,0.31,0.27,30,0.31,0.161,James is excited about winning anything at all.  That $0 slot on the wheel is very large and he was very nervous about it prior to spinning the wheel.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,1,"{'nervous': [2.29, 5.59, ['very nervous'], 1], 'excited': [7.5, 7.67, ['excited'], 1]}",4.9,6.63,,,,4.5
