workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1,pcomp2,dummy
A3Q68BOA79SD35,1,0,30,60,0.38,0.36,0.26,0,0.38,0.018,I think he feels let down and disappointed. Especially since it was right next to the $60.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A3CU2FZBZBTH8Y,1,0,30,60,0.38,0.36,0.26,0,0.38,0.628,he's pretty mad.  the chances of winning 30 were as good; or so; as winning 0.  also; he had a pretty good chance of winning 60; not as great as the others; but fair enough.  so winning nothing while having pretty good odds of winning something made him mad.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A578KKFXCH6DX,1,0,30,60,0.38,0.36,0.26,0,0.38,0.45,Chris is very disappointed not to have won any money. He saw that his odds were more that 50/50 that he would win $30 or $60. Chris is hopeful that he might win money on the next spin.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A29PB2C8XD8TVG,1,0,30,60,0.38,0.36,0.26,0,0.38,0.671,I don't think he feels good at all.  He didn't win anything,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A3L9437EC5JYC6,1,0,30,60,0.38,0.36,0.26,0,0.38,0.311,He probably feels a little bit disappointed. However; he was doing well before; so he probably still has hope.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A2SNCG0K167C0J,1,0,30,60,0.38,0.36,0.26,0,0.38,0.242,Jake is sad.  He's disappointed because he expected something based on the odds; but he knew there was a chance of winning nothing. It still doesn't make him feel better.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
AP121G7XM1WVA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.791,Alex is disappointed that his no-risk-all-reward gamble has yielded no reward. The only unfavorable outcome possible has happened to him.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A35R4R94ZTZFSV,1,0,30,60,0.38,0.36,0.26,0,0.38,0.737,Upset that he didn't win anything.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A2NVNTNQ6KH6JR,1,0,30,60,0.38,0.36,0.26,0,0.38,0.494,Not again! Chris got $0 earlier too. This is totally unfair. Sad! Despair! Couldn't have been worse.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
APWXTMJO1I1ST,1,0,30,60,0.38,0.36,0.26,0,0.38,0.734,I think Alex is very disappointed,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A1ELUKA39RLZ9F,1,0,30,60,0.38,0.36,0.26,0,0.38,0.019,I think he feels very disappointed.  He got very unlucky.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
ATG5DIBOFXR7C,1,0,30,60,0.38,0.36,0.26,0,0.38,0.597,He is sad he didnt win anything.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A2HR7ZIX42FEPG,1,0,30,60,0.38,0.36,0.26,0,0.38,0.38,He is disappointed and sad. He probably is very upset that he didn't get to get any money out of the spin.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A121XPLMG5SJIE,1,0,30,60,0.38,0.36,0.26,0,0.38,0.608,very disappointed,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
AQ5MJSR5ZAUF2,1,0,30,60,0.38,0.36,0.26,0,0.38,0.665,Jacob must be disappointed since he had the same chance of winning $30 as the $0 he actually won.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
AOVMS4XWTJ7A6,1,0,30,60,0.38,0.36,0.26,0,0.38,0.855,Frank felt sad for not winning anything.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A1NR95359ACDZD,1,0,30,60,0.38,0.36,0.26,0,0.38,0.749,Alex is bummed out. Thought he had a good chance to win more.,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
A2NKX5IMNPQTTI,1,0,30,60,0.38,0.36,0.26,0,0.38,0.099,Alex feels bad. He spun and won nothing. For him this was a pointless exercise .,1,26.4,-26.4,1.333333333,6.8,3.933333333,4,3.8,1.066666667,1.2,7.933333333,-9.027450038,-0.235245639,0
