Input,Analysis,Overall Valence,Overall Arousal
I think he feels let down and disappointed. Especially since it was right next to the $60.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [2.13, 5.07, ['down'], 1]}",2.26,5.07
he's pretty mad.  the chances of winning 30 were as good; or so; as winning 0.  also; he had a pretty good chance of winning 60; not as great as the others; but fair enough.  so winning nothing while having pretty good odds of winning something made him mad.,"{'angry': [2.94, 7.26, ['a little mad', 'mad'], 2], 'great': [3.3, 3.3, ['not great'], 1], 'happy': [6.81, 4.77, ['good', 'a little good'], 3]}",4.94,7.76
Chris is very disappointed not to have won any money. He saw that his odds were more that 50/50 that he would win $30 or $60. Chris is hopeful that he might win money on the next spin.,"{'inspired': [7.1, 5.78, ['hopeful'], 1], 'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",4.25,5.78
I don't think he feels good at all.  He didn't win anything,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
He probably feels a little bit disappointed. However; he was doing well before; so he probably still has hope.,"{'inspired': [7.05, 5.44, ['hope'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",5.22,5.92
Jake is sad.  He's disappointed because he expected something based on the odds; but he knew there was a chance of winning nothing. It still doesn't make him feel better.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [1.61, 4.13, ['sad'], 1]}",2.0,4.92
Alex is disappointed that his no-risk-all-reward gamble has yielded no reward. The only unfavorable outcome possible has happened to him.,"{'rewarded': [7.53, 4.95, ['reward'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.96,4.95
Upset that he didn't win anything.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Not again! Chris got $0 earlier too. This is totally unfair. Sad! Despair! Couldn't have been worse.,"{'sad': [2.02, 4.91, ['sad', 'despair'], 2]}",2.02,5.68
I think Alex is very disappointed,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",1.39,3.92
I think he feels very disappointed.  He got very unlucky.,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1], 'unfortunate': [1.0, 3.0, ['very unlucky'], 1]}",1.2,3.92
He is sad he didnt win anything.,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
He is disappointed and sad. He probably is very upset that he didn't get to get any money out of the spin.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [1.31, 4.5, ['sad', 'very upset'], 2]}",1.67,4.92
very disappointed,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",1.39,3.92
Jacob must be disappointed since he had the same chance of winning $30 as the $0 he actually won.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Frank felt sad for not winning anything.,"{'sad': [1.61, 4.13, ['sad'], 1]}",1.61,4.13
Alex is bummed out. Thought he had a good chance to win more.,"{'happy': [7.47, 5.43, ['good'], 1], 'sad': [2.39, 4.78, ['bummed'], 1]}",4.93,5.43
Alex feels bad. He spun and won nothing. For him this was a pointless exercise .,"{'unfortunate': [2.0, 4.0, ['bad'], 1]}",2.0,4.0
Charlie is royally pissed.  He didn't win a single dollar.  He's angry and irritable and won't soon forget his $0 spin.  Charlie probably wishes he could spin it again and at least come out with some sort of dollar amount.,"{'angry': [2.85, 7.17, ['angry'], 1], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",4.97,7.17
He feels pretty bad. The odds were in his favor to walk away with at least some prize money but instead he has nothing. ,"{'unfortunate': [3.0, 5.0, ['a little bad'], 1]}",3.0,5.0
I think he feels disappointed. He didn't win anything.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Very disappointed that he didn't win any money at all. ,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",1.39,3.92
Pretty dang happy!,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
I think hes somewhat relieved. The $0 takes up a large percentage of the wheel. Hes most likely happy he at least got the $30,"{'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [6.09, 4.16, ['a little relieved'], 1]}",7.15,6.49
I think David feels pretty good about winning the $30.  There were pretty good odds of him landing on 0.,"{'happy': [6.47, 4.43, ['a little good'], 2]}",6.47,4.43
bad,"{'unfortunate': [2.0, 4.0, ['bad'], 1]}",2.0,4.0
He is very exited! He didn't expect to win anything. He feels lucky.,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
